Datetime,Open,High,Low,Close,Volume,Symbol
2025-06-04 08:00:00+00:00,206.25,206.38,206.0,206.28,0,AMZN
2025-06-04 08:05:00+00:00,206.29,206.45,206.2,206.45,0,AMZN
2025-06-04 08:10:00+00:00,206.42,206.46,206.35,206.46,0,AMZN
2025-06-04 08:15:00+00:00,206.41,206.45,206.39,206.45,0,AMZN
2025-06-04 08:20:00+00:00,206.39,206.39,206.25,206.35,0,AMZN
2025-06-04 08:25:00+00:00,206.4,206.4,206.25,206.25,0,AMZN
2025-06-04 08:30:00+00:00,206.39,206.39,206.25,206.26,0,AMZN
2025-06-04 08:35:00+00:00,206.38,206.38,206.38,206.38,0,AMZN
2025-06-04 08:40:00+00:00,206.38,206.41,206.37,206.37,0,AMZN
2025-06-04 08:45:00+00:00,206.32,206.32,206.31,206.31,0,AMZN
2025-06-04 08:50:00+00:00,206.34,206.35,206.26,206.32,0,AMZN
2025-06-04 08:55:00+00:00,206.26,206.26,206.15,206.15,0,AMZN
2025-06-04 09:00:00+00:00,206.2,206.26,206.11,206.11,0,AMZN
2025-06-04 09:10:00+00:00,206.21,206.23,206.21,206.23,0,AMZN
2025-06-04 09:15:00+00:00,206.32,206.38,206.32,206.38,0,AMZN
2025-06-04 09:20:00+00:00,206.38,206.41,206.38,206.41,0,AMZN
2025-06-04 09:25:00+00:00,206.41,206.44,206.27,206.31,0,AMZN
2025-06-04 09:30:00+00:00,206.35,206.36,206.3,206.36,0,AMZN
2025-06-04 09:35:00+00:00,206.41,206.45,206.41,206.41,0,AMZN
2025-06-04 09:40:00+00:00,206.41,206.52,206.41,206.52,0,AMZN
2025-06-04 09:45:00+00:00,206.58,206.75,206.58,206.75,0,AMZN
2025-06-04 09:50:00+00:00,206.75,206.84,206.75,206.84,0,AMZN
2025-06-04 09:55:00+00:00,206.86,206.86,206.85,206.85,0,AMZN
2025-06-04 10:00:00+00:00,206.85,206.97,206.79,206.95,0,AMZN
2025-06-04 10:05:00+00:00,206.94,206.99,206.89,206.99,0,AMZN
2025-06-04 10:10:00+00:00,206.95,206.99,206.94,206.99,0,AMZN
2025-06-04 10:15:00+00:00,206.97,207.0,206.81,206.86,0,AMZN
2025-06-04 10:20:00+00:00,206.87,206.89,206.62,206.66,0,AMZN
2025-06-04 10:25:00+00:00,206.76,206.76,206.67,206.67,0,AMZN
2025-06-04 10:30:00+00:00,206.66,206.66,206.56,206.57,0,AMZN
2025-06-04 10:35:00+00:00,206.5,206.55,206.45,206.55,0,AMZN
2025-06-04 10:40:00+00:00,206.61,206.7,206.61,206.7,0,AMZN
2025-06-04 10:45:00+00:00,206.75,206.86,206.75,206.78,0,AMZN
2025-06-04 10:50:00+00:00,206.84,206.95,206.84,206.95,0,AMZN
2025-06-04 10:55:00+00:00,206.95,206.97,206.95,206.97,0,AMZN
2025-06-04 11:00:00+00:00,206.89,206.89,206.67,206.77,0,AMZN
2025-06-04 11:05:00+00:00,206.68,206.84,206.67,206.84,0,AMZN
2025-06-04 11:10:00+00:00,206.76,206.78,206.68,206.75,0,AMZN
2025-06-04 11:15:00+00:00,206.75,206.75,206.69,206.71,0,AMZN
2025-06-04 11:20:00+00:00,206.69,206.69,206.6,206.61,0,AMZN
2025-06-04 11:25:00+00:00,206.57,206.65,206.57,206.57,0,AMZN
2025-06-04 11:30:00+00:00,206.67,206.73,206.67,206.73,0,AMZN
2025-06-04 11:35:00+00:00,206.73,206.84,206.71,206.84,0,AMZN
2025-06-04 11:40:00+00:00,206.9,206.94,206.88,206.94,0,AMZN
2025-06-04 11:45:00+00:00,206.95,206.95,206.9,206.9,0,AMZN
2025-06-04 11:50:00+00:00,206.9,206.94,206.89,206.94,0,AMZN
2025-06-04 11:55:00+00:00,206.97,206.98,206.9,206.9,0,AMZN
2025-06-04 12:00:00+00:00,205.8617,207.0,205.83,206.955,0,AMZN
2025-06-04 12:05:00+00:00,206.97,207.14,205.71,207.05,0,AMZN
2025-06-04 12:10:00+00:00,207.05,207.2,206.95,207.2,0,AMZN
2025-06-04 12:15:00+00:00,207.02,207.02,206.4,206.53,0,AMZN
2025-06-04 12:20:00+00:00,206.57,206.57,205.78,205.95,0,AMZN
2025-06-04 12:25:00+00:00,205.88,206.1,204.8613,205.2,0,AMZN
2025-06-04 12:30:00+00:00,205.26,206.0,205.2,205.7,0,AMZN
2025-06-04 12:35:00+00:00,205.6999,205.99,205.53,205.7399,0,AMZN
2025-06-04 12:40:00+00:00,205.74,205.94,205.51,205.67,0,AMZN
2025-06-04 12:45:00+00:00,205.71,205.94,205.6,205.94,0,AMZN
