Datetime,Open,High,Low,Close,Volume,Symbol
2025-06-04 08:00:00+00:00,596.97,597.3,595.8,597.26,0,SPY
2025-06-04 08:05:00+00:00,597.27,597.3,597.07,597.28,0,SPY
2025-06-04 08:10:00+00:00,597.28,597.57,597.13,597.57,0,SPY
2025-06-04 08:15:00+00:00,597.54,597.63,597.37,597.38,0,SPY
2025-06-04 08:20:00+00:00,597.35,597.42,597.23,597.42,0,SPY
2025-06-04 08:25:00+00:00,597.42,597.42,597.17,597.19,0,SPY
2025-06-04 08:30:00+00:00,597.19,597.36,597.12,597.36,0,SPY
2025-06-04 08:35:00+00:00,597.36,597.41,597.22,597.3,0,SPY
2025-06-04 08:40:00+00:00,597.32,597.38,597.18,597.3,0,SPY
2025-06-04 08:45:00+00:00,597.28,597.28,597.17,597.27,0,SPY
2025-06-04 08:50:00+00:00,597.27,597.3,597.03,597.03,0,SPY
2025-06-04 08:55:00+00:00,597.06,597.07,596.84,596.85,0,SPY
2025-06-04 09:00:00+00:00,596.87,597.08,596.8,596.93,0,SPY
2025-06-04 09:05:00+00:00,596.93,597.02,596.88,596.96,0,SPY
2025-06-04 09:10:00+00:00,596.96,597.34,596.94,597.16,0,SPY
2025-06-04 09:15:00+00:00,597.1,597.29,597.06,597.26,0,SPY
2025-06-04 09:20:00+00:00,597.25,597.36,597.25,597.31,0,SPY
2025-06-04 09:25:00+00:00,597.32,597.36,597.2,597.31,0,SPY
2025-06-04 09:30:00+00:00,597.3,597.31,597.14,597.29,0,SPY
2025-06-04 09:35:00+00:00,597.28,597.4,597.28,597.35,0,SPY
2025-06-04 09:40:00+00:00,597.35,597.46,597.24,597.46,0,SPY
2025-06-04 09:45:00+00:00,597.43,597.46,597.27,597.3,0,SPY
2025-06-04 09:50:00+00:00,597.3,597.33,597.18,597.28,0,SPY
2025-06-04 09:55:00+00:00,597.26,597.29,597.18,597.26,0,SPY
2025-06-04 10:00:00+00:00,597.25,597.43,597.16,597.42,0,SPY
2025-06-04 10:05:00+00:00,597.42,597.68,597.29,597.66,0,SPY
2025-06-04 10:10:00+00:00,597.59,597.63,597.43,597.45,0,SPY
2025-06-04 10:15:00+00:00,597.46,597.51,597.2,597.24,0,SPY
2025-06-04 10:20:00+00:00,597.23,597.23,596.92,597.13,0,SPY
2025-06-04 10:25:00+00:00,597.23,597.23,597.07,597.14,0,SPY
2025-06-04 10:30:00+00:00,597.16,597.19,596.91,596.95,0,SPY
2025-06-04 10:35:00+00:00,596.95,597.06,596.91,597.03,0,SPY
2025-06-04 10:40:00+00:00,597.05,597.16,597.05,597.12,0,SPY
2025-06-04 10:45:00+00:00,597.11,597.25,597.1,597.17,0,SPY
2025-06-04 10:50:00+00:00,597.16,597.32,597.14,597.32,0,SPY
2025-06-04 10:55:00+00:00,597.29,597.47,597.25,597.44,0,SPY
2025-06-04 11:00:00+00:00,597.46,597.46,597.24,597.32,0,SPY
2025-06-04 11:05:00+00:00,597.32,597.48,597.19,597.26,0,SPY
2025-06-04 11:10:00+00:00,597.29,597.4,597.16,597.25,0,SPY
2025-06-04 11:15:00+00:00,597.24,597.3,597.15,597.28,0,SPY
2025-06-04 11:20:00+00:00,597.28,597.3,597.01,597.02,0,SPY
2025-06-04 11:25:00+00:00,597.01,597.05,596.93,597.01,0,SPY
2025-06-04 11:30:00+00:00,597.0,597.04,596.92,597.02,0,SPY
2025-06-04 11:35:00+00:00,597.02,597.16,596.93,597.1,0,SPY
2025-06-04 11:40:00+00:00,597.2,597.32,597.01,597.29,0,SPY
2025-06-04 11:45:00+00:00,597.33,597.45,597.31,597.38,0,SPY
2025-06-04 11:50:00+00:00,597.4,597.51,597.38,597.46,0,SPY
2025-06-04 11:55:00+00:00,597.46,597.48,597.28,597.31,0,SPY
2025-06-04 12:00:00+00:00,597.4697,597.57,597.38,597.47,0,SPY
2025-06-04 12:05:00+00:00,597.43,597.67,596.09,597.5,0,SPY
2025-06-04 12:10:00+00:00,597.51,597.54,597.42,597.49,0,SPY
2025-06-04 12:15:00+00:00,597.41,597.53,596.38,596.43,0,SPY
2025-06-04 12:20:00+00:00,596.46,596.49,595.49,595.6,0,SPY
2025-06-04 12:25:00+00:00,595.6,596.07,595.46,595.85,0,SPY
2025-06-04 12:30:00+00:00,595.9,596.36,595.85,596.11,0,SPY
2025-06-04 12:35:00+00:00,596.12,596.35,595.87,595.99,0,SPY
2025-06-04 12:40:00+00:00,596.04,596.04,595.58,595.75,0,SPY
2025-06-04 12:45:00+00:00,595.77,596.221,595.76,596.12,0,SPY
2025-06-04 12:50:00+00:00,596.12,596.22,595.9,596.18,0,SPY
2025-06-04 12:55:00+00:00,596.19,596.3298,595.98,596.26,0,SPY
2025-06-04 13:00:00+00:00,596.26,596.41,596.11,596.28,0,SPY
2025-06-04 13:05:00+00:00,596.3,596.36,596.09,596.21,0,SPY
2025-06-04 13:10:00+00:00,596.21,596.45,596.14,596.4402,0,SPY
2025-06-04 13:30:00+00:00,596.9600219726562,597.60498046875,596.7899780273438,597.5549926757812,2860540,SPY
2025-06-04 13:35:00+00:00,597.5800170898438,597.9149780273438,597.4199829101562,597.77001953125,1301964,SPY
2025-06-04 13:40:00+00:00,597.77001953125,597.9500122070312,597.3200073242188,597.4400024414062,887051,SPY
2025-06-04 13:45:00+00:00,597.3800048828125,597.844970703125,597.3200073242188,597.7999877929688,1255234,SPY
2025-06-04 13:50:00+00:00,597.8099975585938,597.8300170898438,597.1849975585938,597.3599853515625,833366,SPY
2025-06-04 13:55:00+00:00,597.3400268554688,597.6400146484375,597.1799926757812,597.5650024414062,502821,SPY
2025-06-04 14:00:00+00:00,597.5,597.5800170898438,596.27001953125,596.6599731445312,1521376,SPY
2025-06-04 14:05:00+00:00,596.6599731445312,596.844970703125,595.489990234375,596.3400268554688,1875437,SPY
2025-06-04 14:10:00+00:00,596.3499755859375,596.9201049804688,596.3300170898438,596.8099975585938,950191,SPY
2025-06-04 14:15:00+00:00,596.7999877929688,597.3099975585938,596.6500244140625,597.0701293945312,755300,SPY
2025-06-04 14:20:00+00:00,597.0850219726562,597.239990234375,596.780029296875,597.0900268554688,639716,SPY
2025-06-04 14:25:00+00:00,597.0900268554688,597.7000122070312,597.0700073242188,597.5850219726562,785814,SPY
2025-06-04 14:30:00+00:00,597.5800170898438,597.77001953125,597.4149780273438,597.510009765625,745321,SPY
2025-06-04 14:35:00+00:00,597.52001953125,597.739990234375,597.0700073242188,597.2999877929688,968516,SPY
2025-06-04 14:40:00+00:00,597.280029296875,597.4199829101562,596.7999877929688,596.989990234375,724296,SPY
2025-06-04 14:45:00+00:00,596.97998046875,597.4099731445312,596.7100219726562,597.20068359375,470615,SPY
2025-06-04 14:50:00+00:00,597.2000122070312,597.2000122070312,596.75,597.135009765625,550393,SPY
2025-06-04 14:55:00+00:00,597.1300048828125,597.5399780273438,596.969970703125,597.5250244140625,398416,SPY
2025-06-04 15:00:00+00:00,597.5399780273438,597.6799926757812,597.3400268554688,597.530029296875,505072,SPY
2025-06-04 15:05:00+00:00,597.530029296875,597.875,597.4500122070312,597.72998046875,396998,SPY
2025-06-04 15:10:00+00:00,597.719970703125,597.864990234375,597.5050048828125,597.530029296875,453192,SPY
2025-06-04 15:15:00+00:00,597.5399780273438,597.7000122070312,597.22998046875,597.4199829101562,633510,SPY
2025-06-04 15:20:00+00:00,597.4299926757812,597.530029296875,597.1300048828125,597.3350219726562,423645,SPY
2025-06-04 15:25:00+00:00,597.27001953125,597.3599853515625,596.969970703125,596.989990234375,422869,SPY
2025-06-04 15:30:00+00:00,596.989990234375,597.208984375,596.7550048828125,597.0250244140625,549241,SPY
2025-06-04 15:35:00+00:00,597.010009765625,597.239990234375,596.7999877929688,597.1199951171875,355407,SPY
2025-06-04 15:40:00+00:00,597.1199951171875,597.4099731445312,596.4099731445312,596.590087890625,746933,SPY
2025-06-04 15:45:00+00:00,597.02001953125,597.2000122070312,596.760009765625,596.9000244140625,848154,SPY
2025-06-04 15:50:00+00:00,596.8900146484375,597.3099975585938,596.885009765625,597.0599975585938,414920,SPY
2025-06-04 15:55:00+00:00,597.0399780273438,597.1400146484375,596.6699829101562,596.8800048828125,301666,SPY
2025-06-04 16:00:00+00:00,596.8699951171875,596.9400024414062,596.5,596.5999755859375,479911,SPY
2025-06-04 16:05:00+00:00,596.6099853515625,596.7100219726562,596.3800048828125,596.47998046875,440327,SPY
2025-06-04 16:10:00+00:00,596.4749755859375,596.5399780273438,595.7908935546875,595.8699951171875,616460,SPY
2025-06-04 16:15:00+00:00,595.8599853515625,596.4500122070312,595.8300170898438,596.4199829101562,839647,SPY
2025-06-04 16:20:00+00:00,596.4099731445312,596.4351196289062,595.9912719726562,596.1699829101562,337170,SPY
2025-06-04 16:25:00+00:00,596.1799926757812,596.3599853515625,595.880615234375,595.9249877929688,378710,SPY
2025-06-04 16:30:00+00:00,595.9099731445312,596.3800048828125,595.8699951171875,596.1099853515625,431565,SPY
2025-06-04 16:35:00+00:00,596.2449951171875,596.280029296875,595.97998046875,596.1699829101562,335857,SPY
2025-06-04 16:40:00+00:00,596.1599731445312,596.489990234375,596.1300048828125,596.4776000976562,346676,SPY
2025-06-04 16:45:00+00:00,596.469970703125,596.8300170898438,596.4400024414062,596.7949829101562,386353,SPY
2025-06-04 16:50:00+00:00,596.7849731445312,596.8400268554688,596.5700073242188,596.6743774414062,391053,SPY
2025-06-04 16:55:00+00:00,596.6599731445312,596.8200073242188,596.6199951171875,596.77001953125,239390,SPY
2025-06-04 17:00:00+00:00,596.9099731445312,597.1849975585938,596.9099731445312,597.125,512744,SPY
2025-06-04 17:05:00+00:00,597.1199951171875,597.2100219726562,597.0850219726562,597.1799926757812,296533,SPY
2025-06-04 17:10:00+00:00,597.1699829101562,597.385009765625,597.1500244140625,597.25,612204,SPY
