symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
AAPL,Apple,stocks,5m,5,0.5,0.01,84,0.6785714285714286,1.0107897548145577,0.21978130407702337,-391.3155112426807,21.97813040769921
AAPL,Apple,stocks,5m,5,0.5,0.02,84,0.6785714285714286,0.9691053237126863,-0.7205534145509227,-457.12057891845564,-72.05534145509492
AAPL,Apple,stocks,5m,5,1.0,0.01,80,0.4625,0.7734681487550066,-7.117500718750143,-780.5890842529465,-711.7500718750208
AAPL,Apple,stocks,15m,15,0.5,0.01,67,0.5373134328358209,0.5750594039631094,-10.589483402465957,-990.7649775268657,-1058.948340246593
AAPL,Apple,stocks,15m,15,0.5,0.02,67,0.5373134328358209,0.5757889572863901,-12.527433156494316,-1148.5652798706192,-1252.743315649429
AAPL,Apple,stocks,15m,15,1.0,0.02,65,0.35384615384615387,0.6503106383439184,-13.07933096704115,-1262.4329825683642,-1307.9330967041149
AMZN,Amazon,stocks,5m,5,0.5,0.02,83,0.6987951807228916,1.222033909667113,4.294994066284034,-552.6835104248122,429.49940662840095
AMZN,Amazon,stocks,5m,5,0.5,0.01,83,0.6987951807228916,1.2420939596071114,4.1986095278318505,-468.80611859131653,419.86095278318624
AMZN,Amazon,stocks,5m,15,2.0,0.01,72,0.3472222222222222,1.0873222795201538,3.508604054199131,-970.9388147949154,350.8604054199094
AMZN,Amazon,stocks,15m,15,0.5,0.02,60,0.6666666666666666,1.096492364575493,1.9161763520507702,-372.4783308105444,191.61763520507165
AMZN,Amazon,stocks,15m,15,0.5,0.01,60,0.6666666666666666,1.0595806220706887,0.9880508405760885,-366.57906662598026,98.80508405761049
AMZN,Amazon,stocks,15m,15,2.0,0.02,57,0.2982456140350877,0.9195690685629733,-3.3016545261232024,-1146.6837515869133,-330.1654526123182
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.01,92,0.6086956521739131,2.2414112225555543,3.6400589621279322,-34.24626032066459,364.0058962127949
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.02,92,0.6086956521739131,2.2414112225555543,3.6400589621279322,-34.24626032066459,364.0058962127949
EURUSD=X,EUR/USD,forex,5m,15,1.0,0.01,88,0.7045454545454546,1.9404937095722128,2.7143261616192285,-55.608983303640166,271.4326161619216
