type,entry_time,entry_price,stop_loss,take_profit,orb_high,orb_low,orb_range,position_size,exit_time,exit_price,exit_reason,pnl,symbol,trade_duration,capital_after,cumulative_pnl,running_max,drawdown,symbol_name,category
SHORT,2025-06-04 20:55:00+00:00,202.65070261230468,204.93009267578125,198.09232248535156,204.92999267578125,202.6508026123047,2.2791900634765625,43,2025-06-04 21:00:00+00:00,204.93009267578125,STOP_LOSS,-98.01377272949247,AAPL,5.0,9803.972454541014,-196.02754545898495,-98.01377272949247,-98.01377272949247,Apple,stocks
SHORT,2025-06-04 20:55:00+00:00,167.15990366210937,168.18070302734375,165.11870493164062,168.18060302734375,167.16000366210938,1.020599365234375,59,2025-06-04 22:30:00+00:00,168.18070302734375,STOP_LOSS,-60.22716254882852,GOOGL,95.0,9819.318512353515,-180.68148764648555,-60.22716254882852,-120.45432509765703,Google,stocks
LONG,2025-06-04 22:05:00+00:00,207.2401054931641,205.93990244140625,209.84011159667978,207.2400054931641,205.94000244140625,1.300003051757841,47,2025-06-05 14:25:00+00:00,209.84011159667978,TAKE_PROFIT,122.20028686523705,AMZN,980.0,9998.680996948242,-1.3190030517584717,-1.3190030517584717,0.0,Amazon,stocks
SHORT,2025-06-05 13:55:00+00:00,594.3899146484375,597.905129296875,587.3598853515625,597.905029296875,594.3900146484375,3.5150146484375,16,2025-06-05 15:15:00+00:00,597.905129296875,STOP_LOSS,-56.2434343749992,SPY,80.0,9980.877659375,-19.122340624999197,37.12109375,-56.2434343749992,S&P 500 ETF,stocks
SHORT,2025-06-05 13:55:00+00:00,202.32990183105468,203.84009633789066,199.30991281738275,203.83999633789065,202.3300018310547,1.509994506835966,48,2025-06-05 15:20:00+00:00,203.84009633789066,STOP_LOSS,-72.48933632812668,AAPL,85.0,9731.483118212887,-268.51688178711163,-98.01377272949247,-170.50310905761916,Apple,stocks
SHORT,2025-06-05 14:00:00+00:00,311.1999122070313,312.2001122070312,309.1999122070313,312.20001220703125,311.20001220703125,1.0,32,2025-06-05 15:30:00+00:00,309.1999122070313,TAKE_PROFIT,64.0,GLD,90.0,10112.0,112.0,112.0,0.0,Gold ETF,commodities
SHORT,2025-06-05 14:05:00+00:00,169.17989267578125,170.93009267578125,165.67989267578125,170.92999267578125,169.17999267578125,1.75,56,2025-06-05 20:20:00+00:00,165.67989267578125,TAKE_PROFIT,196.0,GOOGL,375.0,10015.318512353515,15.31851235351445,15.31851235351445,0.0,Google,stocks
LONG,2025-06-05 14:55:00+00:00,530.8401268554687,527.279929296875,537.9601219726562,530.8400268554688,527.280029296875,3.55999755859375,18,2025-06-05 16:50:00+00:00,527.279929296875,STOP_LOSS,-64.0835560546866,QQQ,115.0,9870.749331835937,-129.2506681640598,-32.583556054686596,-96.66711210937319,Nasdaq ETF,stocks
LONG,2025-06-05 15:05:00+00:00,211.4000938964844,208.0499030517578,218.1000755859376,211.3999938964844,208.0500030517578,3.349990844726591,29,2025-06-05 19:15:00+00:00,208.0499030517578,STOP_LOSS,-97.15553449707133,AMZN,250.0,9901.52546245117,-98.4745375488298,-1.3190030517584717,-97.15553449707133,Amazon,stocks
LONG,2025-06-05 15:15:00+00:00,467.3600853515625,464.2899085449219,473.5000389648437,467.3599853515625,464.2900085449219,3.069976806640625,21,2025-06-05 20:40:00+00:00,464.2899085449219,STOP_LOSS,-64.47371293945207,MSFT,325.0,9891.424522363282,-108.57547763671664,-44.10176469726457,-64.47371293945207,Microsoft,stocks
LONG,2025-06-05 15:15:00+00:00,597.905129296875,594.3899146484375,604.93515859375,597.905029296875,594.3900146484375,3.5150146484375,16,2025-06-05 16:50:00+00:00,594.3899146484375,STOP_LOSS,-56.2434343749992,SPY,95.0,9924.634225000002,-75.3657749999984,37.12109375,-112.4868687499984,S&P 500 ETF,stocks
LONG,2025-06-05 15:20:00+00:00,203.84009633789066,202.32990183105468,206.8600853515626,203.83999633789065,202.3300018310547,1.509994506835966,47,2025-06-05 16:45:00+00:00,202.32990183105468,STOP_LOSS,-70.97914182129071,AAPL,85.0,9660.503976391597,-339.4960236084023,-98.01377272949247,-241.48225087890984,Apple,stocks
SHORT,2025-06-05 16:30:00+00:00,312.3598853515625,324.54999624023435,287.9800635742188,324.5498962402344,312.3599853515625,12.189910888671875,8,2025-06-05 18:55:00+00:00,287.9800635742188,TAKE_PROFIT,195.03857421875,TSLA,145.0,10195.03857421875,195.03857421875,195.03857421875,0.0,Tesla,stocks
SHORT,2025-06-05 16:45:00+00:00,202.32990183105468,203.84009633789066,199.30991281738275,203.83999633789065,202.3300018310547,1.509994506835966,47,2025-06-06 13:50:00+00:00,203.84009633789066,STOP_LOSS,-70.97914182129071,AAPL,1265.0,9589.524834570308,-410.475165429693,-98.01377272949247,-312.4613927002005,Apple,stocks
SHORT,2025-06-05 16:55:00+00:00,527.279929296875,530.8401268554687,520.1599341796875,530.8400268554688,527.280029296875,3.55999755859375,18,2025-06-05 20:50:00+00:00,520.1599341796875,TAKE_PROFIT,128.159912109375,QQQ,235.0,9998.909243945312,-1.090756054684789,-1.090756054684789,0.0,Nasdaq ETF,stocks
