symbol,interval,orb_duration,tp_multiplier,risk_per_trade,avg_return,median_return,avg_profit_factor,total_trades
AAPL,15m,15,0.5,0.01,-10.589483402465957,-10.589483402465957,0.5750594039631094,67
AAPL,15m,15,0.5,0.02,-12.527433156494316,-12.527433156494316,0.5757889572863901,67
AAPL,15m,15,1.0,0.01,-13.254786778320431,-13.254786778320431,0.5881327480660365,65
AAPL,15m,15,1.0,0.02,-13.07933096704115,-13.07933096704115,0.6503106383439184,65
AAPL,15m,15,2.0,0.01,-17.811310594970873,-17.811310594970873,0.5573402708104941,65
AAPL,15m,15,2.0,0.02,-19.592762688720956,-19.592762688720956,0.5928437806578476,65
AAPL,5m,5,0.5,0.01,0.21978130407702337,0.21978130407702337,1.0107897548145577,84
AAPL,5m,5,0.5,0.02,-0.7205534145509227,-0.7205534145509227,0.9691053237126863,84
AAPL,5m,5,1.0,0.01,-7.117500718750143,-7.117500718750143,0.7734681487550066,80
AAPL,5m,5,1.0,0.02,-7.913071463867364,-7.913071463867364,0.7751756041150435,80
AAPL,5m,5,2.0,0.01,-14.174193981933714,-14.174193981933714,0.65367410728685,80
AAPL,5m,5,2.0,0.02,-14.134698983886809,-14.134698983886809,0.6912809551542852,80
AAPL,5m,15,0.5,0.01,-8.908650333740297,-8.908650333740297,0.6661672462524922,81
AAPL,5m,15,0.5,0.02,-11.42368984423836,-11.42368984423836,0.6356038057428409,81
AAPL,5m,15,1.0,0.01,-15.561368872070345,-15.561368872070345,0.5708042235784067,78
AAPL,5m,15,1.0,0.02,-16.682747717529384,-16.682747717529384,0.5974801380492091,78
AAPL,5m,15,2.0,0.01,-16.52206563037131,-16.52206563037131,0.6233551601972442,78
AAPL,5m,15,2.0,0.02,-18.963460192871263,-18.963460192871263,0.6302299291771587,78
AMZN,15m,15,0.5,0.01,0.9880508405760885,0.9880508405760885,1.0595806220706887,60
AMZN,15m,15,0.5,0.02,1.9161763520507702,1.9161763520507702,1.096492364575493,60
AMZN,15m,15,1.0,0.01,-3.8363011166993424,-3.8363011166993424,0.8560697479489369,58
AMZN,15m,15,1.0,0.02,-4.815436707763765,-4.815436707763765,0.853414176979436,58
AMZN,15m,15,2.0,0.01,-4.467044549804832,-4.467044549804832,0.8669692866705647,57
AMZN,15m,15,2.0,0.02,-3.3016545261232024,-3.3016545261232024,0.9195690685629733,57
AMZN,5m,5,0.5,0.01,4.1986095278318505,4.1986095278318505,1.2420939596071114,83
AMZN,5m,5,0.5,0.02,4.294994066284034,4.294994066284034,1.222033909667113,83
AMZN,5m,5,1.0,0.01,2.43248894384742,2.43248894384742,1.0833330719851155,83
AMZN,5m,5,1.0,0.02,2.054033176025132,2.054033176025132,1.063059711358008,83
AMZN,5m,5,2.0,0.01,-2.6725622990723603,-2.6725622990723603,0.9332106298771708,82
AMZN,5m,5,2.0,0.02,-3.190635180664212,-3.190635180664212,0.9282810092772873,82
AMZN,5m,15,0.5,0.01,-4.5498662885742664,-4.5498662885742664,0.8011237754714728,73
AMZN,5m,15,0.5,0.02,-6.184281278564431,-6.184281278564431,0.7763027263391251,73
AMZN,5m,15,1.0,0.01,-6.710447085937594,-6.710447085937594,0.7964343306774546,73
AMZN,5m,15,1.0,0.02,-8.414888866455184,-8.414888866455184,0.7867517502836874,73
AMZN,5m,15,2.0,0.01,3.508604054199131,3.508604054199131,1.0873222795201538,72
AMZN,5m,15,2.0,0.02,1.6698813598631024,1.6698813598631024,1.0340225883891847,72
EURUSD=X,15m,15,0.5,0.01,0.6919557487735619,0.6919557487735619,1.2800756016167472,72
EURUSD=X,15m,15,0.5,0.02,0.6919557487735619,0.6919557487735619,1.2800756016167472,72
EURUSD=X,15m,15,1.0,0.01,1.2322020055255962,1.2322020055255962,1.3216123249747198,71
EURUSD=X,15m,15,1.0,0.02,1.2322020055255962,1.2322020055255962,1.3216123249747198,71
EURUSD=X,15m,15,2.0,0.01,1.6665807008858429,1.6665807008858429,1.363369081723812,58
EURUSD=X,15m,15,2.0,0.02,1.6665807008858429,1.6665807008858429,1.363369081723812,58
EURUSD=X,5m,5,0.5,0.01,1.153026429872607,1.153026429872607,1.9417107578312949,96
EURUSD=X,5m,5,0.5,0.02,1.153026429872607,1.153026429872607,1.9417107578312949,96
EURUSD=X,5m,5,1.0,0.01,2.127095878450473,2.127095878450473,2.081041624349834,95
EURUSD=X,5m,5,1.0,0.02,2.127095878450473,2.127095878450473,2.081041624349834,95
EURUSD=X,5m,5,2.0,0.01,3.6400589621279322,3.6400589621279322,2.2414112225555543,92
EURUSD=X,5m,5,2.0,0.02,3.6400589621279322,3.6400589621279322,2.2414112225555543,92
EURUSD=X,5m,15,0.5,0.01,1.286101161338811,1.286101161338811,1.679217852773583,88
EURUSD=X,5m,15,0.5,0.02,1.286101161338811,1.286101161338811,1.679217852773583,88
EURUSD=X,5m,15,1.0,0.01,2.7143261616192285,2.7143261616192285,1.9404937095722128,88
EURUSD=X,5m,15,1.0,0.02,2.7143261616192285,2.7143261616192285,1.9404937095722128,88
EURUSD=X,5m,15,2.0,0.01,1.2396882493763588,1.2396882493763588,1.270773058924824,71
EURUSD=X,5m,15,2.0,0.02,1.2396882493763588,1.2396882493763588,1.270773058924824,71
GC=F,15m,15,0.5,0.01,3.3504730332030523,3.3504730332030523,2.37538683226348,46
GC=F,15m,15,0.5,0.02,3.6849725449218025,3.6849725449218025,2.5127006441513227,46
GC=F,15m,15,1.0,0.01,6.288936906249873,6.288936906249873,2.5901032698277513,42
GC=F,15m,15,1.0,0.02,7.626934953124874,7.626934953124874,2.928404496422145,42
GC=F,15m,15,2.0,0.01,3.4629452539061094,3.4629452539061094,1.8742481660805728,22
GC=F,15m,15,2.0,0.02,4.830946183593624,4.830946183593624,2.219610918387091,22
GC=F,5m,5,0.5,0.01,3.77747386914054,3.77747386914054,3.5643982698760563,68
GC=F,5m,5,0.5,0.02,3.77747386914054,3.77747386914054,3.5643982698760563,68
GC=F,5m,5,1.0,0.01,4.504890648437249,4.504890648437249,2.106271563306712,67
GC=F,5m,5,1.0,0.02,4.504890648437249,4.504890648437249,2.106271563306712,67
GC=F,5m,5,2.0,0.01,4.41481979296841,4.41481979296841,1.7765461190819718,61
GC=F,5m,5,2.0,0.02,4.41481979296841,4.41481979296841,1.7765461190819718,61
GC=F,5m,15,0.5,0.01,3.6479614746092737,3.6479614746092737,2.368306483651972,58
GC=F,5m,15,0.5,0.02,3.6479614746092737,3.6479614746092737,2.368306483651972,58
GC=F,5m,15,1.0,0.01,3.6459100664060315,3.6459100664060315,1.638166823889709,57
GC=F,5m,15,1.0,0.02,3.6459100664060315,3.6459100664060315,1.638166823889709,57
GC=F,5m,15,2.0,0.01,5.25587494921845,5.25587494921845,1.7476196481868531,49
GC=F,5m,15,2.0,0.02,5.25587494921845,5.25587494921845,1.7476196481868531,49
GLD,15m,15,0.5,0.01,3.1716028615724277,3.1716028615724277,1.6785058540507647,61
GLD,15m,15,0.5,0.02,3.1716028615724277,3.1716028615724277,1.6785058540507647,61
GLD,15m,15,1.0,0.01,3.303797421386989,3.303797421386989,1.3979008847028396,59
GLD,15m,15,1.0,0.02,3.303797421386989,3.303797421386989,1.3979008847028396,59
GLD,15m,15,2.0,0.01,7.145772697754254,7.145772697754254,1.659877748323182,58
GLD,15m,15,2.0,0.02,7.145772697754254,7.145772697754254,1.659877748323182,58
GLD,5m,5,0.5,0.01,3.69554397241227,3.69554397241227,2.247716443660769,82
GLD,5m,5,0.5,0.02,3.69554397241227,3.69554397241227,2.247716443660769,82
GLD,5m,5,1.0,0.01,4.748995413574558,4.748995413574558,1.8173217769735663,82
GLD,5m,5,1.0,0.02,4.748995413574558,4.748995413574558,1.8173217769735663,82
GLD,5m,5,2.0,0.01,4.955360629395054,4.955360629395054,1.5295306734816376,82
GLD,5m,5,2.0,0.02,4.955360629395054,4.955360629395054,1.5295306734816376,82
GLD,5m,15,0.5,0.01,4.1343844128419915,4.1343844128419915,1.9518909673144447,75
GLD,5m,15,0.5,0.02,4.1343844128419915,4.1343844128419915,1.9518909673144447,75
GLD,5m,15,1.0,0.01,2.89245283154336,2.89245283154336,1.3178171117016342,75
GLD,5m,15,1.0,0.02,2.89245283154336,2.89245283154336,1.3178171117016342,75
