symbol,name,category,interval,orb_duration,tp_multiplier,risk_per_trade,total_trades,win_rate,profit_factor,return_pct,max_drawdown,total_pnl
MNQ=F,Micro Nasdaq,futures,5m,5,2.0,0.01,63,0.4444444444444444,1.6709382098023846,14.77242899999921,-375.2524000000267,1477.242899999921
NQ=F,Nasdaq Futures,futures,5m,5,2.0,0.01,63,0.4444444444444444,1.725392606490918,15.47992899999921,-301.2524000000267,1547.992899999921
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.01,92,0.6086956521739131,2.2414112225555543,3.6400589621279322,-34.24626032066459,364.0058962127949
GC=F,Gold,commodities,5m,5,2.0,0.01,61,0.5081967213114754,1.7765461190819718,4.41481979296841,-98.40327890625485,441.481979296841
GLD,Gold ETF,commodities,5m,5,2.0,0.01,82,0.4878048780487805,1.5295306734816376,4.955360629395054,-244.54836098629937,495.53606293952265
AAPL,Apple,stocks,5m,5,2.0,0.01,80,0.2375,0.65367410728685,-14.174193981933714,-1623.5711197265714,-1417.4193981933724
MSFT,Microsoft,stocks,5m,5,2.0,0.01,84,0.35714285714285715,1.1740801490538308,4.792002112793526,-505.7114212402146,479.20021127934933
GOOGL,Google,stocks,5m,5,2.0,0.01,81,0.2716049382716049,0.6752703897578968,-15.054891059814546,-2305.7846501953186,-1505.4891059814584
AMZN,Amazon,stocks,5m,5,2.0,0.01,82,0.3048780487804878,0.9332106298771708,-2.6725622990723603,-1193.5552598144554,-267.2562299072447
TSLA,Tesla,stocks,5m,5,2.0,0.01,70,0.35714285714285715,1.0799925527224206,3.855022682617709,-2339.859210888646,385.5022682617717
SPY,S&P 500 ETF,stocks,5m,5,2.0,0.01,90,0.36666666666666664,1.0188443512698577,0.19462956347717408,-256.35941874999116,19.46295634770013
QQQ,Nasdaq ETF,stocks,5m,5,2.0,0.01,91,0.37362637362637363,1.1606143749563562,2.582417517578269,-420.6946669921722,258.2417517578624
MNQ=F,Micro Nasdaq,futures,5m,5,2.0,0.02,63,0.4444444444444444,1.6709382098023846,14.77242899999921,-375.2524000000267,1477.242899999921
NQ=F,Nasdaq Futures,futures,5m,5,2.0,0.02,63,0.4444444444444444,1.725392606490918,15.47992899999921,-301.2524000000267,1547.992899999921
EURUSD=X,EUR/USD,forex,5m,5,2.0,0.02,92,0.6086956521739131,2.2414112225555543,3.6400589621279322,-34.24626032066459,364.0058962127949
GC=F,Gold,commodities,5m,5,2.0,0.02,61,0.5081967213114754,1.7765461190819718,4.41481979296841,-98.40327890625485,441.481979296841
GLD,Gold ETF,commodities,5m,5,2.0,0.02,82,0.4878048780487805,1.5295306734816376,4.955360629395054,-244.54836098629937,495.53606293952265
AAPL,Apple,stocks,5m,5,2.0,0.02,80,0.2375,0.6912809551542852,-14.134698983886809,-1698.575852807625,-1413.4698983886829
MSFT,Microsoft,stocks,5m,5,2.0,0.02,84,0.35714285714285715,1.1355741650124576,3.8537997016607366,-533.6051559081761,385.37997016606823
GOOGL,Google,stocks,5m,5,2.0,0.02,81,0.2716049382716049,0.6292020813521523,-19.455806289306686,-2787.7327235839907,-1945.5806289306786
AMZN,Amazon,stocks,5m,5,2.0,0.02,82,0.3048780487804878,0.9282810092772873,-3.190635180664212,-1364.5646724121139,-319.06351806642556
TSLA,Tesla,stocks,5m,5,2.0,0.02,70,0.35714285714285715,1.064613553516524,4.978399682129784,-3892.8773680175386,497.83996821297035
SPY,S&P 500 ETF,stocks,5m,5,2.0,0.02,90,0.36666666666666664,1.0188443512698577,0.19462956347717408,-256.35941874999116,19.46295634770013
QQQ,Nasdaq ETF,stocks,5m,5,2.0,0.02,91,0.37362637362637363,1.1606143749563562,2.582417517578269,-420.6946669921722,258.2417517578624
MNQ=F,Micro Nasdaq,futures,5m,5,1.0,0.01,69,0.6956521739130435,2.399643755754684,18.07995699999952,-193.0008000000089,1807.9956999999522
NQ=F,Nasdaq Futures,futures,5m,5,1.0,0.01,68,0.7058823529411765,2.661496132486323,19.314958999999543,-181.00040000000445,1931.4958999999544
EURUSD=X,EUR/USD,forex,5m,5,1.0,0.01,95,0.7473684210526316,2.081041624349834,2.127095878450473,-42.81941060752963,212.70958784504975
GC=F,Gold,commodities,5m,5,1.0,0.01,67,0.6865671641791045,2.106271563306712,4.504890648437249,-47.10178593750243,450.4890648437249
GLD,Gold ETF,commodities,5m,5,1.0,0.01,82,0.6707317073170732,1.8173217769735663,4.748995413574558,-109.78536562499357,474.8995413574642
AAPL,Apple,stocks,5m,5,1.0,0.01,80,0.4625,0.7734681487550066,-7.117500718750143,-780.5890842529465,-711.7500718750208
MSFT,Microsoft,stocks,5m,5,1.0,0.01,85,0.5882352941176471,1.4437841467955603,8.20487031054725,-303.28291874999354,820.4870310547249
GOOGL,Google,stocks,5m,5,1.0,0.01,82,0.4024390243902439,0.602203361716607,-15.723353399902425,-2066.1461711181714,-1572.3353399902433
AMZN,Amazon,stocks,5m,5,1.0,0.01,83,0.5180722891566265,1.0833330719851155,2.43248894384742,-468.9866076660277,243.24889438474338
TSLA,Tesla,stocks,5m,5,1.0,0.01,71,0.5211267605633803,1.0695700351949557,2.354995018066802,-1150.16173803709,235.4995018066789
SPY,S&P 500 ETF,stocks,5m,5,1.0,0.01,92,0.5760869565217391,1.2003101475066833,1.448063578125402,-231.87477343749197,144.80635781253022
QQQ,Nasdaq ETF,stocks,5m,5,1.0,0.01,91,0.5824175824175825,1.316734473195288,3.517249139648557,-279.22117851561416,351.7249139648775
MNQ=F,Micro Nasdaq,futures,5m,5,1.0,0.02,69,0.6956521739130435,2.399643755754684,18.07995699999952,-193.0008000000089,1807.9956999999522
NQ=F,Nasdaq Futures,futures,5m,5,1.0,0.02,68,0.7058823529411765,2.661496132486323,19.314958999999543,-181.00040000000445,1931.4958999999544
